date,close,volume,open,high,low,symbol
2024-01-17,56.053,474394400,56.347,56.4707,54.74,NVDA
2024-01-16,56.382,449579700,55.018,56.835,54.9,NVDA
2024-01-12,54.71,352993600,54.62,54.97,54.3301,NVDA
2024-01-11,54.822,596758800,54.999,55.346,53.56,NVDA
2024-01-10,54.35,533795800,53.616,54.6,53.489,NVDA
2024-01-09,53.14,773100100,52.401,54.325,51.69,NVDA
2024-01-08,52.253,642509900,49.512,52.275,49.479,NVDA
2024-01-05,49.097,415039300,48.462,49.547,48.306,NVDA
2024-01-04,47.998,306534900,47.767,48.5,47.508,NVDA
2024-01-03,47.569,320896200,47.485,48.1841,47.32,NVDA
2024-01-02,48.168,411254200,49.244,49.295,47.595,NVDA
2023-12-29,49.522,389293300,49.813,49.997,48.751,NVDA
2023-12-28,49.522,246587500,49.643,49.884,49.412,NVDA
2023-12-27,49.417,233648000,49.511,49.68,49.085,NVDA
2023-12-26,49.279,244199500,48.968,49.6,48.96,NVDA
2023-12-22,48.83,252506800,49.195,49.383,48.467,NVDA
2023-12-21,48.99,300425400,48.811,49.095,48.419,NVDA
2023-12-20,48.111,397894400,49.655,49.999,48.098,NVDA
2023-12-19,49.604,464444500,49.424,49.7,48.895,NVDA
2023-12-18,50.077,412587200,49.4,50.433,49.15,NVDA
2023-12-15,48.89,479947600,48.194,49.404,48.12,NVDA
2023-12-14,48.35,391231700,48.39,48.67,47.422,NVDA
2023-12-13,48.088,447791900,47.629,48.594,47.608,NVDA
2023-12-12,47.657,372386900,46.046,47.666,46.046,NVDA
2023-12-11,46.627,509728100,47.491,47.531,45.83,NVDA
2023-12-08,47.506,359223700,46.595,47.7409,46.55,NVDA
2023-12-07,46.596,350822600,45.7,46.629,45.604,NVDA
2023-12-06,45.503,380589600,47.2145,47.387,45.412,NVDA
2023-12-05,46.566,371717600,45.466,46.6,45.271,NVDA
2023-12-04,45.51,437543400,46.077,46.077,45.01,NVDA
2023-12-01,46.765,369317000,46.525,47.2,46.187,NVDA
2023-11-30,46.77,526246600,48.024,48.11,46.422,NVDA
2023-11-29,48.14,382004700,48.379,48.762,47.86,NVDA
2023-11-28,47.821,401490900,48.236,48.3229,47.473,NVDA
2023-11-27,48.242,395661900,47.8,48.53,47.652,NVDA
2023-11-24,47.776,294644600,48.47,48.921,47.745,NVDA
2023-11-22,48.716,900642300,49.852,50.3349,47.69,NVDA
2023-11-21,49.944,565746900,50.126,50.517,49.222,NVDA
2023-11-20,50.409,416142600,49.312,50.548,49.181,NVDA
2023-11-17,49.298,325896900,49.524,49.717,49.007,NVDA
2023-11-16,49.48,339756200,48.679,49.5247,48.33,NVDA
2023-11-15,48.888,475497400,49.935,49.96,48.2,NVDA
2023-11-14,49.656,416953900,49.68,49.834,49.04,NVDA
2023-11-13,48.62,384135700,48.32,49.116,48.099,NVDA
2023-11-10,48.335,422441600,47.5,48.472,47.283,NVDA
2023-11-09,46.95,540496000,47.467,48.23,46.75,NVDA
2023-11-08,46.574,346718900,46.1,46.867,45.968,NVDA
2023-11-07,45.955,343165500,45.719,46.218,45.1575,NVDA
2023-11-06,45.751,400733400,45.2845,45.935,44.899,NVDA
2023-11-03,45.005,424609600,44.02,45.309,43.723,NVDA
2023-11-02,43.506,409171900,43.328,43.884,42.894,NVDA
2023-11-01,42.325,437592900,40.884,42.381,40.869,NVDA
2023-10-31,40.78,517968700,40.45,40.879,39.23,NVDA
2023-10-30,41.161,388028100,41.087,41.766,40.481,NVDA
2023-10-27,40.5,416784400,41.13,41.206,40.015,NVDA
2023-10-26,40.326,541001300,41.853,42.2555,39.8802,NVDA
2023-10-25,41.779,398379200,43.398,43.65,41.555,NVDA
2023-10-24,43.663,401463400,43.077,43.697,42.691,NVDA
2023-10-23,42.975,478530500,41.229,43.248,40.945,NVDA
2023-10-20,41.387,477266100,41.89,42.47,41.078,NVDA
2023-10-19,42.101,501233100,42.811,43.297,41.882,NVDA
2023-10-18,42.196,627294300,42.591,43.219,41.825,NVDA
2023-10-17,43.938,812332700,44.0,44.754,42.48,NVDA
2023-10-16,46.095,375099200,45.063,46.225,44.912,NVDA
2023-10-13,45.461,475426000,46.96,47.116,45.28,NVDA
2023-10-12,46.945,481325000,46.777,47.609,46.33,NVDA
2023-10-11,46.806,378136900,46.196,46.859,46.05,NVDA
2023-10-10,45.798,368582100,45.31,46.259,45.088,NVDA
2023-10-09,45.273,409674700,44.842,45.605,44.368,NVDA
2023-10-06,45.762,434436000,44.193,45.789,44.026,NVDA
2023-10-05,44.688,393483100,44.05,44.9,43.888,NVDA
2023-10-04,44.041,361820900,43.742,44.143,43.292,NVDA
2023-10-03,43.517,470849500,44.808,45.13,43.246,NVDA
2023-10-02,44.782,433298200,44.03,45.175,43.861,NVDA
2023-09-29,43.499,397829900,43.827,44.144,43.3069,NVDA
2023-09-28,43.089,424662800,42.46,43.4463,42.115,NVDA
2023-09-27,42.468,444935200,42.33,42.872,41.629,NVDA
2023-09-26,41.911,402282100,42.001,42.82,41.655,NVDA
2023-09-25,42.222,419091000,41.591,42.536,41.177,NVDA
2023-09-22,41.61,479236300,41.572,42.115,41.231,NVDA
